1872	阿沁
1873	阿宝
1875	阿信
1876	阿杜
1877	阿牛
1878	DJ-Varc
1879	安琥
1881	阿木
1882	阿强
1885	阿炳
1886	艾斯卡尔
1888	阿穆隆
1893	阿里
1896	阿沐
1902	阿振
1904	阿爆
1905	阿吉仔
1906	阿龙正罡
1910	阿德
1912	阿清
1919	AP满人
1921	安旭
1925	奥杰阿格
1926	阿拉腾傲刀
1945	安东阳
1961	阿译
1980	安神
2000	塔斯肯
2022	阿左
2025	B6
2026	布仁巴雅尔
2027	卜学亮
2032	贝玛千贝仁波切
2033	包朝克
2034	鲍比达
2048	百慕三石
2049	卞留念
2050	白音孟和
2055	白天不亮
2056	拜尔
2059	毕书尽
2060	白羽
2061	包伍
2063	白玛多吉
2065	布川
2071	白龙
2073	鲍元恺
2087	波拉
2098	暴林
2101	Barry
2103	血男孩
2104	Beatsound
2110	曹格
2111	崔健
2112	陈小春
2113	车继铃
2115	陈百强
2116	陈奕迅
2117	侧田
2118	成龙
2119	蔡国庆
2121	蔡旻佑
2122	陈冠希
2124	陈楚生
2125	陈晓东
2127	陈柏宇
2130	蔡国权
2131	川子
2133	陈奂仁
2134	陈坤
2135	陈勋奇
2138	陈浩民
2141	陈雷
2147	陈旭
2150	陈冠蒲
2153	常石磊
2159	曹轩宾
2164	陈伟霆
2174	陈底里
2201	陈势安
2202	陈其钢
2204	陈辉权
2209	陈少华
2213	苍茫
2230	陈雅森
2276	崔京浩
2294	陈光荣
2312	C AllStar
2330	晨熙
2331	陈翔
2336	程池
2338	船长
2348	陈零九
2375	蔡志展
2414	曹越
2422	阿鲲
2428	陈劭康KOMIC
2448	曹秦
2513	冬子
2514	蛋堡
2515	窦唯
2516	迪克牛仔
2517	刀郎
2518	东来东往
2519	董运昌
2520	东山少爷
2521	邓伟标
2522	杜德伟
2524	大张伟
2525	戴玉强
2526	窦鹏
2527	DJ宝贝
2528	刁寒
2531	邓健泓
2532	丁咚
2545	丁于
2548	杜聪
2562	窦智孔
2569	丁可
2578	大冰
2579	汀洋
2591	单小源
2602	邓杰
2605	丁汀
2607	多亮
2610	丁浩然
2614	大哲
2616	丁少华
2623	邓超
2632	代理仁
2675	杜淳
2682	丁炜
2699	东篱
2702	东浩
2710	恩炀
2714	EDIQ
2716	诶姆
2717	Ethen Chen
2718	enlil
2720	贰贝勒J.Forest
2721	eclove23
2722	E.SO
2723	Ezfic
2724	E歌
2727	二文
2728	二宝
2730	Eugene Pao
2735	EazyToo
2736	范逸臣
2737	范宗沛
2738	方大同
2739	方力申
2740	傅聪
2741	房祖名
2742	方泂镔
2743	费翔
2747	费玉清
2749	范圣琦
2750	Finn
2752	方锦龙
2753	冯德伦
2754	冯晓泉
2757	傅振辉
2758	冯乔
2761	浮克
2762	方奕
2764	范思威
2765	范振锋
2766	方顺吉
2768	付笛声
2769	冯伟棠
2772	范琳
2775	樊凡
2777	符致逸
2778	冯言
2786	范睿
2788	Faber
2791	付辛博
2792	冯磊
2793	樊少华
2802	肥宝
2803	范圣霖
2808	冯晓荣
2813	冯泽雨
2816	冯绍峰
2827	付豪
2829	范星光
2839	飞翔
2841	高晓松
2842	光良
2843	郭顶
2844	古天乐
2846	高明骏
2847	郭伟亮
2848	郭峰
2849	古巨基
2850	顾嘉辉
2851	郭子
2852	郭富城
2853	关正杰
2856	高枫
2857	高凌风
2859	管平湖
2861	关楚耀
2862	龚一
2863	高进
2867	哏德全
2868	关喆
2870	甘仕良
2871	广智
2872	关德辉
2874	顾峰
2875	郭浩男
2878	顾海滨
2885	光头李进
2887	高向鹏
2888	狄易达
2890	恭硕良
2892	高林生
2911	郭颂
2912	郭炳坚
2922	郭德纲
2928	高夫
2945	歌浴森
2946	刮刮乐
2947	国蛋
2959	根呷
2960	高韶青
2962	格茸农布
2963	高安
2969	关泽楠
2979	格杰白玛
2981	葛平
3007	郭少杰
3020	过江龙
3029	高信
3031	关栋天
3042	高正洋
3055	何勇
3056	胡德夫
3058	后弦
3059	黄霑
3061	黄磊
3063	黄义达
3064	胡歌
3065	黄立行
3066	胡彦斌
3068	黄大炜
3069	洪启
3071	郝云
3072	韩磊
3073	黄凯芹
3075	何训田
3078	黄伟文
3079	黄品源
3080	黄贯中
3081	胡伟立
3082	黄安
3085	韩寒
3086	海鸣威
3090	何炅
3093	黄征
3094	黄晓明
3096	贺西格
3112	何润东
3116	黄家强
3118	黑龙
3120	霍建华
3121	黄阅
3123	黄国俊
3126	黄宗泽
3146	侯旭
3162	胡兵
3181	贺一航
3217	哈孜肯
3249	河图
3250	火风
3255	黄渤
3256	黄明志
3259	呼斯楞
3261	浩瀚
3272	韩庚
3273	胡夏
3276	何晟铭
3307	晃儿
3311	海生
3317	灰原穷
3322	黄英华
3330	胡鸿钧
3337	黄艺明
3348	回音哥
3378	何崇志
3404	贺一航
3415	霍尊
3421	黄勇
3438	iiiis
3445	Intangible Ism
3450	几米
3451	金城武
3452	蒋大为
3453	蒋志光
3454	贾鹏芳
3456	姜育恒
3458	纪佳松
3459	姜玉阳
3461	江凯文
3463	江得胜
3464	江涛
3466	姜鹏
3484	吉中鸣
3498	金学峰
3499	景岗山
3504	君君
3515	Jeff李
3519	金科
3524	极泷
3526	JR Fog
3528	靳松
3534	贾鹏新
3535	Jason Chen
3536	金培达
3537	鞠起
3539	井柏然
3541	姜昆
3551	金泽
3558	蒋明
3562	金复载
3563	金久哲
3572	君子
3576	金玥
3591	甲雍
3593	金山
3594	蒋山
3600	江智民
3613	纪晓斌
3614	柯受良
3616	KenT
3617	柯有伦
3619	孔令奇
3620	孔宏伟
3621	克里木
3622	康乔
3623	康万生
3624	孔祥东
3625	卡卡
3626	柯羽
3627	康康
3630	空气球
3636	Know Hope Collective
3640	Kz
3641	凯撒
3643	王路Kositu
3646	科尔沁夫
3649	昆虫白
3651	KT
3654	柯震东
3655	孔朝晖
